Analysis Data - Generated by ParsaSpice Simulator
=================================================

Series: V(N_9_3)
Time	Value
----------------
0	0.454545
0.001	0.867769
0.002	1.24343
0.003	1.58493
0.004	1.89539
0.005	2.17763
0.006	2.43421
0.007	2.66746
0.008	2.87951
0.009	3.07228
0.01	3.24753
0.011	3.40685
0.012	3.55168
0.013	3.68334
0.014	3.80304
0.015	3.91185
0.016	4.01078
0.017	4.10071
0.018	4.18246
0.019	4.25678
0.02	4.32435
0.021	4.38577
0.022	4.44161
0.023	4.49237
0.024	4.53852
0.025	4.58047
0.026	4.61861
0.027	4.65328
0.028	4.6848
0.029	4.71346
0.03	4.73951
0.031	4.76319
0.032	4.78472
0.033	4.80429
0.034	4.82208
0.035	4.83825
0.036	4.85296
0.037	4.86633
0.038	4.87848
0.039	4.88953
0.04	4.89957
0.041	4.9087
0.042	4.917
0.043	4.92454
0.044	4.9314
0.045	4.93764
0.046	4.94331
0.047	4.94846
0.048	4.95315
0.049	4.95741
0.05	4.96128
0.051	4.9648
0.052	4.968
0.053	4.97091
0.054	4.97355
0.055	4.97596
0.056	4.97814
0.057	4.98013
0.058	4.98194
0.059	4.98358
0.06	4.98507
0.061	4.98643
0.062	4.98766
0.063	4.98878
0.064	4.9898
0.065	4.99073
0.066	4.99157
0.067	4.99234
0.068	4.99304
0.069	4.99367
0.07	4.99424
0.071	4.99477
0.072	4.99524
0.073	4.99568
0.074	4.99607
0.075	4.99643
0.076	4.99675
0.077	4.99705
0.078	4.99731
0.079	4.99756
0.08	4.99778
0.081	4.99798
0.082	4.99817
0.083	4.99833
0.084	4.99848
0.085	4.99862
0.086	4.99875
0.087	4.99886
0.088	4.99896
0.089	4.99906
0.09	4.99914
0.091	4.99922
0.092	4.99929
0.093	4.99936
0.094	4.99942
0.095	4.99947
0.096	4.99952
0.097	4.99956
0.098	4.9996
0.099	4.99964
0.1	4.99967
0.101	4.9997
0.102	4.99973
0.103	4.99975
0.104	4.99977
0.105	4.9998
0.106	4.99981
0.107	4.99983
0.108	4.99985
0.109	4.99986
0.11	4.99987
0.111	4.99988
0.112	4.99989
0.113	4.9999
0.114	4.99991
0.115	4.99992
0.116	4.99993
0.117	4.99993
0.118	4.99994
0.119	4.99995
0.12	4.99995
0.121	4.99996
0.122	4.99996
0.123	4.99996
0.124	4.99997
0.125	4.99997
0.126	4.99997
0.127	4.99997
0.128	4.99998
0.129	4.99998
0.13	4.99998
0.131	4.99998
0.132	4.99998
0.133	4.99999
0.134	4.99999
0.135	4.99999
0.136	4.99999
0.137	4.99999
0.138	4.99999
0.139	4.99999
0.14	4.99999
0.141	4.99999
0.142	4.99999
0.143	4.99999
0.144	5
0.145	5
0.146	5
0.147	5
0.148	5
0.149	5
0.15	5
0.151	5
0.152	5
0.153	5
0.154	5
0.155	5
0.156	5
0.157	5
0.158	5
0.159	5
0.16	5
0.161	5
0.162	5
0.163	5
0.164	5
0.165	5
0.166	5
0.167	5
0.168	5
0.169	5
0.17	5
0.171	5
0.172	5
0.173	5
0.174	5
0.175	5
0.176	5
0.177	5
0.178	5
0.179	5
0.18	5
0.181	5
0.182	5
0.183	5
0.184	5
0.185	5
0.186	5
0.187	5
0.188	5
0.189	5
0.19	5
0.191	5
0.192	5
0.193	5
0.194	5
0.195	5
0.196	5
0.197	5
0.198	5
0.199	5
0.2	5
0.201	5
0.202	5
0.203	5
0.204	5
0.205	5
0.206	5
0.207	5
0.208	5
0.209	5
0.21	5
0.211	5
0.212	5
0.213	5
0.214	5
0.215	5
0.216	5
0.217	5
0.218	5
0.219	5
0.22	5
0.221	5
0.222	5
0.223	5
0.224	5
0.225	5
0.226	5
0.227	5
0.228	5
0.229	5
0.23	5
0.231	5
0.232	5
0.233	5
0.234	5
0.235	5
0.236	5
0.237	5
0.238	5
0.239	5
0.24	5
0.241	5
0.242	5
0.243	5
0.244	5
0.245	5
0.246	5
0.247	5
0.248	5
0.249	5
0.25	5
0.251	5
0.252	5
0.253	5
0.254	5
0.255	5
0.256	5
0.257	5
0.258	5
0.259	5
0.26	5
0.261	5
0.262	5
0.263	5
0.264	5
0.265	5
0.266	5
0.267	5
0.268	5
0.269	5
0.27	5
0.271	5
0.272	5
0.273	5
0.274	5
0.275	5
0.276	5
0.277	5
0.278	5
0.279	5
0.28	5
0.281	5
0.282	5
0.283	5
0.284	5
0.285	5
0.286	5
0.287	5
0.288	5
0.289	5
0.29	5
0.291	5
0.292	5
0.293	5
0.294	5
0.295	5
0.296	5
0.297	5
0.298	5
0.299	5
0.3	5
0.301	5
0.302	5
0.303	5
0.304	5
0.305	5
0.306	5
0.307	5
0.308	5
0.309	5
0.31	5
0.311	5
0.312	5
0.313	5
0.314	5
0.315	5
0.316	5
0.317	5
0.318	5
0.319	5
0.32	5
0.321	5
0.322	5
0.323	5
0.324	5
0.325	5
0.326	5
0.327	5
0.328	5
0.329	5
0.33	5
0.331	5
0.332	5
0.333	5
0.334	5
0.335	5
0.336	5
0.337	5
0.338	5
0.339	5
0.34	5
0.341	5
0.342	5
0.343	5
0.344	5
0.345	5
0.346	5
0.347	5
0.348	5
0.349	5
0.35	5
0.351	5
0.352	5
0.353	5
0.354	5
0.355	5
0.356	5
0.357	5
0.358	5
0.359	5
0.36	5
0.361	5
0.362	5
0.363	5
0.364	5
0.365	5
0.366	5
0.367	5
0.368	5
0.369	5
0.37	5
0.371	5
0.372	5
0.373	5
0.374	5
0.375	5
0.376	5
0.377	5
0.378	5
0.379	5
0.38	5
0.381	5
0.382	5
0.383	5
0.384	5
0.385	5
0.386	5
0.387	5
0.388	5
0.389	5
0.39	5
0.391	5
0.392	5
0.393	5
0.394	5
0.395	5
0.396	5
0.397	5
0.398	5
0.399	5
0.4	5
0.401	5
0.402	5
0.403	5
0.404	5
0.405	5
0.406	5
0.407	5
0.408	5
0.409	5
0.41	5
0.411	5
0.412	5
0.413	5
0.414	5
0.415	5
0.416	5
0.417	5
0.418	5
0.419	5
0.42	5
0.421	5
0.422	5
0.423	5
0.424	5
0.425	5
0.426	5
0.427	5
0.428	5
0.429	5
0.43	5
0.431	5
0.432	5
0.433	5
0.434	5
0.435	5
0.436	5
0.437	5
0.438	5
0.439	5
0.44	5
0.441	5
0.442	5
0.443	5
0.444	5
0.445	5
0.446	5
0.447	5
0.448	5
0.449	5
0.45	5
0.451	5
0.452	5
0.453	5
0.454	5
0.455	5
0.456	5
0.457	5
0.458	5
0.459	5
0.46	5
0.461	5
0.462	5
0.463	5
0.464	5
0.465	5
0.466	5
0.467	5
0.468	5
0.469	5
0.47	5
0.471	5
0.472	5
0.473	5
0.474	5
0.475	5
0.476	5
0.477	5
0.478	5
0.479	5
0.48	5
0.481	5
0.482	5
0.483	5
0.484	5
0.485	5
0.486	5
0.487	5
0.488	5
0.489	5
0.49	5
0.491	5
0.492	5
0.493	5
0.494	5
0.495	5
0.496	5
0.497	5
0.498	5
0.499	5
0.5	5
0.501	5
0.502	5
0.503	5
0.504	5
0.505	5
0.506	5
0.507	5
0.508	5
0.509	5
0.51	5
0.511	5
0.512	5
0.513	5
0.514	5
0.515	5
0.516	5
0.517	5
0.518	5
0.519	5
0.52	5
0.521	5
0.522	5
0.523	5
0.524	5
0.525	5
0.526	5
0.527	5
0.528	5
0.529	5
0.53	5
0.531	5
0.532	5
0.533	5
0.534	5
0.535	5
0.536	5
0.537	5
0.538	5
0.539	5
0.54	5
0.541	5
0.542	5
0.543	5
0.544	5
0.545	5
0.546	5
0.547	5
0.548	5
0.549	5
0.55	5
0.551	5
0.552	5
0.553	5
0.554	5
0.555	5
0.556	5
0.557	5
0.558	5
0.559	5
0.56	5
0.561	5
0.562	5
0.563	5
0.564	5
0.565	5
0.566	5
0.567	5
0.568	5
0.569	5
0.57	5
0.571	5
0.572	5
0.573	5
0.574	5
0.575	5
0.576	5
0.577	5
0.578	5
0.579	5
0.58	5
0.581	5
0.582	5
0.583	5
0.584	5
0.585	5
0.586	5
0.587	5
0.588	5
0.589	5
0.59	5
0.591	5
0.592	5
0.593	5
0.594	5
0.595	5
0.596	5
0.597	5
0.598	5
0.599	5
0.6	5
0.601	5
0.602	5
0.603	5
0.604	5
0.605	5
0.606	5
0.607	5
0.608	5
0.609	5
0.61	5
0.611	5
0.612	5
0.613	5
0.614	5
0.615	5
0.616	5
0.617	5
0.618	5
0.619	5
0.62	5
0.621	5
0.622	5
0.623	5
0.624	5
0.625	5
0.626	5
0.627	5
0.628	5
0.629	5
0.63	5
0.631	5
0.632	5
0.633	5
0.634	5
0.635	5
0.636	5
0.637	5
0.638	5
0.639	5
0.64	5
0.641	5
0.642	5
0.643	5
0.644	5
0.645	5
0.646	5
0.647	5
0.648	5
0.649	5
0.65	5
0.651	5
0.652	5
0.653	5
0.654	5
0.655	5
0.656	5
0.657	5
0.658	5
0.659	5
0.66	5
0.661	5
0.662	5
0.663	5
0.664	5
0.665	5
0.666	5
0.667	5
0.668	5
0.669	5
0.67	5
0.671	5
0.672	5
0.673	5
0.674	5
0.675	5
0.676	5
0.677	5
0.678	5
0.679	5
0.68	5
0.681	5
0.682	5
0.683	5
0.684	5
0.685	5
0.686	5
0.687	5
0.688	5
0.689	5
0.69	5
0.691	5
0.692	5
0.693	5
0.694	5
0.695	5
0.696	5
0.697	5
0.698	5
0.699	5
0.7	5
0.701	5
0.702	5
0.703	5
0.704	5
0.705	5
0.706	5
0.707	5
0.708	5
0.709	5
0.71	5
0.711	5
0.712	5
0.713	5
0.714	5
0.715	5
0.716	5
0.717	5
0.718	5
0.719	5
0.72	5
0.721	5
0.722	5
0.723	5
0.724	5
0.725	5
0.726	5
0.727	5
0.728	5
0.729	5
0.73	5
0.731	5
0.732	5
0.733	5
0.734	5
0.735	5
0.736	5
0.737	5
0.738	5
0.739	5
0.74	5
0.741	5
0.742	5
0.743	5
0.744	5
0.745	5
0.746	5
0.747	5
0.748	5
0.749	5
0.75	5
0.751	5
0.752	5
0.753	5
0.754	5
0.755	5
0.756	5
0.757	5
0.758	5
0.759	5
0.76	5
0.761	5
0.762	5
0.763	5
0.764	5
0.765	5
0.766	5
0.767	5
0.768	5
0.769	5
0.77	5
0.771	5
0.772	5
0.773	5
0.774	5
0.775	5
0.776	5
0.777	5
0.778	5
0.779	5
0.78	5
0.781	5
0.782	5
0.783	5
0.784	5
0.785	5
0.786	5
0.787	5
0.788	5
0.789	5
0.79	5
0.791	5
0.792	5
0.793	5
0.794	5
0.795	5
0.796	5
0.797	5
0.798	5
0.799	5
0.8	5
0.801	5
0.802	5
0.803	5
0.804	5
0.805	5
0.806	5
0.807	5
0.808	5
0.809	5
0.81	5
0.811	5
0.812	5
0.813	5
0.814	5
0.815	5
0.816	5
0.817	5
0.818	5
0.819	5
0.82	5
0.821	5
